Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 10:21:13
FILENAME   : vei_t8303_160519102111_T8303.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8303
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
  Location                =vei_t8303
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:20:09 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16385
Date/time;Druk[cm];Temperatuur[°C]
2016/03/24 08:55:00;1035.1;8.00
2016/03/24 09:00:00;1035.1;8.00
2016/03/24 09:05:00;1035.1;8.00
2016/03/24 09:10:00;1035.1;8.00
2016/03/24 09:15:00;1034.9;8.00
2016/03/24 09:20:00;1035.1;8.00
2016/03/24 09:25:00;1035.1;8.00
2016/03/24 09:30:00;1034.9;8.01
2016/03/24 09:35:00;1035.1;8.01
2016/03/24 09:40:00;1035.1;8.01
2016/03/24 09:45:00;1035.1;8.01
2016/03/24 09:50:00;1035.1;8.01
2016/03/24 09:55:00;1035.1;8.01
2016/03/24 10:00:00;1035.1;8.01
2016/03/24 10:05:00;1035.1;8.01
2016/03/24 10:10:00;1035.1;8.01
2016/03/24 10:15:00;1035.1;8.01
2016/03/24 10:20:00;1035.1;8.01
2016/03/24 10:25:00;1035.1;8.01
2016/03/24 10:30:00;1034.9;8.01
2016/03/24 10:35:00;1035.1;8.01
2016/03/24 10:40:00;1035.1;8.01
2016/03/24 10:45:00;1035.1;8.01
2016/03/24 10:50:00;1035.1;8.01
2016/03/24 10:55:00;1035.1;8.01
2016/03/24 11:00:00;1035.3;8.01
2016/03/24 11:05:00;1035.1;8.01
2016/03/24 11:10:00;1035.1;8.02
2016/03/24 11:15:00;1034.9;8.02
2016/03/24 11:20:00;1035.1;8.02
2016/03/24 11:25:00;1035.1;8.02
2016/03/24 11:30:00;1035.1;8.02
2016/03/24 11:35:00;1035.1;8.02
2016/03/24 11:40:00;1035.2;8.02
2016/03/24 11:45:00;1035.1;8.02
2016/03/24 11:50:00;1035.1;8.02
2016/03/24 11:55:00;1035.1;8.02
2016/03/24 12:00:00;1035.1;8.02
2016/03/24 12:05:00;1034.9;8.02
2016/03/24 12:10:00;1035.2;8.02
2016/03/24 12:15:00;1035.1;8.02
2016/03/24 12:20:00;1035.1;8.03
2016/03/24 12:25:00;1035.1;8.03
2016/03/24 12:30:00;1034.9;8.03
2016/03/24 12:35:00;1034.9;8.03
2016/03/24 12:40:00;1035.1;8.03
2016/03/24 12:45:00;1034.9;8.03
2016/03/24 12:50:00;1034.9;8.03
2016/03/24 12:55:00;1034.9;8.03
2016/03/24 13:00:00;1034.9;8.03
2016/03/24 13:05:00;1034.9;8.03
2016/03/24 13:10:00;1034.9;8.03
2016/03/24 13:15:00;1035.1;8.03
2016/03/24 13:20:00;1035.1;8.03
2016/03/24 13:25:00;1034.9;8.03
2016/03/24 13:30:00;1034.7;8.03
2016/03/24 13:35:00;1034.7;8.03
2016/03/24 13:40:00;1034.9;8.03
2016/03/24 13:45:00;1034.6;8.03
2016/03/24 13:50:00;1034.6;8.03
2016/03/24 13:55:00;1034.7;8.03
2016/03/24 14:00:00;1034.6;8.03
2016/03/24 14:05:00;1034.6;8.03
2016/03/24 14:10:00;1034.7;8.03
2016/03/24 14:15:00;1034.6;8.03
2016/03/24 14:20:00;1034.4;8.03
2016/03/24 14:25:00;1034.7;8.03
2016/03/24 14:30:00;1034.6;8.03
2016/03/24 14:35:00;1034.4;8.03
2016/03/24 14:40:00;1034.4;8.03
2016/03/24 14:45:00;1034.2;8.04
2016/03/24 14:50:00;1034.2;8.04
2016/03/24 14:55:00;1034.2;8.04
2016/03/24 15:00:00;1034.1;8.04
2016/03/24 15:05:00;1034.2;8.04
2016/03/24 15:10:00;1034.2;8.04
2016/03/24 15:15:00;1034.2;8.04
2016/03/24 15:20:00;1034.2;8.04
2016/03/24 15:25:00;1034.1;8.04
2016/03/24 15:30:00;1034.1;8.04
2016/03/24 15:35:00;1034.2;8.04
2016/03/24 15:40:00;1034.1;8.04
2016/03/24 15:45:00;1034.2;8.04
2016/03/24 15:50:00;1034.1;8.04
2016/03/24 15:55:00;1034.2;8.04
2016/03/24 16:00:00;1034.1;8.04
2016/03/24 16:05:00;1034.1;8.04
2016/03/24 16:10:00;1033.9;8.04
2016/03/24 16:15:00;1034.1;8.04
2016/03/24 16:20:00;1034.1;8.04
2016/03/24 16:25:00;1033.9;8.04
2016/03/24 16:30:00;1033.9;8.04
2016/03/24 16:35:00;1033.9;8.04
2016/03/24 16:40:00;1033.7;8.04
2016/03/24 16:45:00;1033.9;8.04
2016/03/24 16:50:00;1034.1;8.04
2016/03/24 16:55:00;1033.9;8.04
2016/03/24 17:00:00;1033.9;8.04
2016/03/24 17:05:00;1034.0;8.05
2016/03/24 17:10:00;1034.0;8.05
2016/03/24 17:15:00;1034.2;8.05
2016/03/24 17:20:00;1034.0;8.05
2016/03/24 17:25:00;1034.0;8.05
2016/03/24 17:30:00;1034.0;8.05
2016/03/24 17:35:00;1034.0;8.05
2016/03/24 17:40:00;1034.0;8.05
2016/03/24 17:45:00;1034.2;8.05
2016/03/24 17:50:00;1034.0;8.05
2016/03/24 17:55:00;1034.0;8.05
2016/03/24 18:00:00;1034.2;8.05
2016/03/24 18:05:00;1034.2;8.05
2016/03/24 18:10:00;1034.2;8.05
2016/03/24 18:15:00;1034.0;8.05
2016/03/24 18:20:00;1034.2;8.05
2016/03/24 18:25:00;1034.2;8.05
2016/03/24 18:30:00;1034.4;8.05
2016/03/24 18:35:00;1034.4;8.05
2016/03/24 18:40:00;1034.2;8.05
2016/03/24 18:45:00;1034.2;8.05
2016/03/24 18:50:00;1034.0;8.05
2016/03/24 18:55:00;1034.0;8.05
2016/03/24 19:00:00;1034.2;8.05
2016/03/24 19:05:00;1034.2;8.05
2016/03/24 19:10:00;1034.2;8.05
2016/03/24 19:15:00;1034.2;8.05
2016/03/24 19:20:00;1034.0;8.05
2016/03/24 19:25:00;1034.2;8.05
2016/03/24 19:30:00;1034.1;8.05
2016/03/24 19:35:00;1034.1;8.05
2016/03/24 19:40:00;1034.1;8.05
2016/03/24 19:45:00;1034.1;8.05
2016/03/24 19:50:00;1034.1;8.05
2016/03/24 19:55:00;1034.2;8.05
2016/03/24 20:00:00;1034.2;8.05
