Data file for DataLogger.;;
24/03/2016 1:30;1324.2;12.07
24/03/2016 1:35;1324.2;12.01
24/03/2016 1:40;1323.9;12.04
24/03/2016 1:45;1323.9;12.07
24/03/2016 1:50;1323.6;12.04
24/03/2016 1:55;1323.9;12.04
24/03/2016 2:00;1323.6;12.02
24/03/2016 2:05;1323.9;12.04
24/03/2016 2:10;1323.9;12.04
24/03/2016 2:15;1322.5;12.03
24/03/2016 2:20;1323.9;12.01
24/03/2016 2:25;1323.6;12.01
24/03/2016 2:30;1323.4;12.03
24/03/2016 2:35;1323.9;12.01
24/03/2016 2:40;1324.5;11.97
24/03/2016 2:45;1324.1;11.91
24/03/2016 2:50;1324.5;11.97
24/03/2016 2:55;1323.9;11.99
24/03/2016 3:00;1323.9;11.99
24/03/2016 3:05;1324.1;11.99
24/03/2016 3:10;1324.2;11.99
24/03/2016 3:15;1323.9;12.01
24/03/2016 3:20;1323.9;11.99
24/03/2016 3:25;1324.2;11.97
24/03/2016 3:30;1324.2;11.97
24/03/2016 3:35;1323.9;11.97
24/03/2016 3:40;1323.9;12.03
24/03/2016 3:45;1324.2;12.03
24/03/2016 3:50;1324.2;12.04
24/03/2016 3:55;1324.1;11.99
24/03/2016 4:00;1323.6;11.95
24/03/2016 4:05;1322.8;12.03
24/03/2016 4:10;1323.9;12.03
24/03/2016 4:15;1323.9;12.02
24/03/2016 4:20;1323.9;12.02
24/03/2016 4:25;1324.3;12.05
24/03/2016 4:30;1322.5;12
24/03/2016 4:35;1323.9;12
24/03/2016 4:40;1323.9;12.02
24/03/2016 4:45;1323.6;11.97
24/03/2016 4:50;1323.9;11.99
24/03/2016 4:55;1323.6;11.97
24/03/2016 5:00;1323.9;12.05
24/03/2016 5:05;1322.8;12.05
24/03/2016 5:10;1323.6;12.02
24/03/2016 5:15;1323.4;12.04
24/03/2016 5:20;1323.6;12.04
24/03/2016 5:25;1322.3;12.03
24/03/2016 5:30;1323.4;12.05
24/03/2016 5:35;1323.4;12.04
24/03/2016 5:40;1323.4;12.03
24/03/2016 5:45;1323.4;12.03
24/03/2016 5:50;1323.1;12.03
24/03/2016 5:55;1323.4;12
24/03/2016 6:00;1323.4;12.03
24/03/2016 6:05;1323.4;12.03
24/03/2016 6:10;1323.9;12.04
24/03/2016 6:15;1323.1;12.03
24/03/2016 6:20;1323.4;12.01
24/03/2016 6:25;1323.6;12.03
24/03/2016 6:30;1323.4;11.99
24/03/2016 6:35;1323.4;12.02
24/03/2016 6:40;1323.4;12
24/03/2016 6:45;1323.7;11.98
24/03/2016 6:50;1323.4;12.05
24/03/2016 6:55;1323.6;12.06
24/03/2016 7:00;1323.6;12.03
24/03/2016 7:05;1323.6;12
24/03/2016 7:10;1323.4;12.02
24/03/2016 7:15;1323.4;12.01
24/03/2016 7:20;1323.4;12.03
24/03/2016 7:25;1323.5;11.98
24/03/2016 7:30;1323.5;11.99
24/03/2016 7:35;1323.6;12.01
24/03/2016 7:40;1323.4;12.02
24/03/2016 7:45;1323.4;12
24/03/2016 7:50;1323.6;11.97
24/03/2016 7:55;1323.1;12.01
24/03/2016 8:00;1323.2;11.98
24/03/2016 8:05;1323.4;12
24/03/2016 8:10;1323.3;11.99
24/03/2016 8:15;1323.1;12.01
24/03/2016 8:20;1323.1;12.02
24/03/2016 8:25;1322.5;12.01
24/03/2016 8:30;1323.1;12.03
24/03/2016 8:35;1323.1;12.02
24/03/2016 8:40;1323.3;12.07
24/03/2016 8:45;1323.4;12.05
24/03/2016 8:50;1323.1;12.03
24/03/2016 8:55;1323.4;12.05
24/03/2016 9:00;1322.8;12.05
24/03/2016 9:05;1323.1;12.02
24/03/2016 9:10;1322.5;12.02
24/03/2016 9:15;1323.1;12.03
24/03/2016 9:20;1323.2;12.05
24/03/2016 9:25;1322.5;12.03
24/03/2016 9:30;1322.8;12.01
24/03/2016 9:35;1322.8;12.03
24/03/2016 9:40;1322.5;12.03
24/03/2016 9:45;1322.5;12
24/03/2016 9:50;1322.5;12.02
24/03/2016 9:55;1321.3;11.95
24/03/2016 10:00;1321.5;12.01
24/03/2016 10:05;1322.5;12.06
24/03/2016 10:10;1322.7;12.07
24/03/2016 10:15;1322.5;12.04
24/03/2016 10:20;1322.8;12.02
24/03/2016 10:25;1322.5;12.01
24/03/2016 10:30;1322.5;12
24/03/2016 10:35;1322;11.97
24/03/2016 10:40;1322.5;11.97
24/03/2016 10:45;1322.5;11.97
24/03/2016 10:50;1322.4;11.99
24/03/2016 10:55;1322.5;12.01
24/03/2016 11:00;1321.8;12.01
24/03/2016 11:05;1321.9;11.98
24/03/2016 11:10;1322.3;12.01
24/03/2016 11:15;1322;11.99
24/03/2016 11:20;1322;11.94
24/03/2016 11:25;1321;12.01
24/03/2016 11:30;1321.8;12.02
24/03/2016 11:35;1322.3;12.04
24/03/2016 11:40;1322.3;12.03
24/03/2016 11:45;1322.3;12.01
24/03/2016 11:50;1322;12.02
24/03/2016 11:55;1322;12.07
24/03/2016 12:00;1322;12.03
24/03/2016 12:05;1322;12
24/03/2016 12:10;1321.5;12.01
24/03/2016 12:15;1321.8;12.06
24/03/2016 12:20;1321.8;12.01
24/03/2016 12:25;1322;11.95
24/03/2016 12:30;1321.3;12.03
24/03/2016 12:35;1321.5;12.03
24/03/2016 12:40;1322;12
24/03/2016 12:45;1321.8;11.99
24/03/2016 12:50;1321.8;12.03
24/03/2016 12:55;1321.8;12.02
24/03/2016 13:00;1322;12.03
24/03/2016 13:05;1321.8;12.02
24/03/2016 13:10;1322;12.03
24/03/2016 13:15;1321.9;11.98
24/03/2016 13:20;1321.8;12.03
24/03/2016 13:25;1321.8;12
24/03/2016 13:30;1321.3;12.01
24/03/2016 13:35;1321.3;12.01
24/03/2016 13:40;1321.3;11.93
24/03/2016 13:45;1322;12.01
24/03/2016 13:50;1321.8;12.05
24/03/2016 13:55;1321.8;12.03
24/03/2016 14:00;1322.3;12
24/03/2016 14:05;1322.5;11.97
24/03/2016 14:10;1322.3;12
24/03/2016 14:15;1322.4;11.98
24/03/2016 14:20;1322.3;11.96
24/03/2016 14:25;1322;11.95
24/03/2016 14:30;1322;11.99
24/03/2016 14:35;1321;11.99
24/03/2016 14:40;1322;12.02
24/03/2016 14:45;1322;12.02
24/03/2016 14:50;1322;12.01
24/03/2016 14:55;1321.8;12.01
24/03/2016 15:00;1321.8;12.03
24/03/2016 15:05;1322;12
24/03/2016 15:10;1322.2;11.99
24/03/2016 15:15;1321.9;11.98
24/03/2016 15:20;1322;12.01
24/03/2016 15:25;1322;12.01
24/03/2016 15:30;1321.8;11.99
24/03/2016 15:35;1322;12.01
24/03/2016 15:40;1322.3;12.03
24/03/2016 15:45;1321.9;12.05
24/03/2016 15:50;1321.8;12.05
24/03/2016 15:55;1321.8;12.01
24/03/2016 16:00;1321.8;12.01
24/03/2016 16:05;1321.8;12.02
24/03/2016 16:10;1322;11.99
24/03/2016 16:15;1320.7;11.97
24/03/2016 16:20;1322;11.99
24/03/2016 16:25;1321.8;12
24/03/2016 16:30;1322.3;11.96
24/03/2016 16:35;1322.5;11.97
24/03/2016 16:40;1322.2;11.99
24/03/2016 16:45;1322.3;12.01
24/03/2016 16:50;1322;12.01
24/03/2016 16:55;1322;11.99
24/03/2016 17:00;1322.3;11.97
24/03/2016 17:05;1322;12.03
24/03/2016 17:10;1321;12
24/03/2016 17:15;1322;11.99
24/03/2016 17:20;1322;12.01
24/03/2016 17:25;1322.4;11.98
24/03/2016 17:30;1322.3;11.97
24/03/2016 17:35;1322;11.99
24/03/2016 17:40;1322.3;12.05
24/03/2016 17:45;1322.3;12.01
24/03/2016 17:50;1322.5;12
24/03/2016 17:55;1323.1;12
24/03/2016 18:00;1323.4;11.97
24/03/2016 18:05;1323.4;12.05
24/03/2016 18:10;1323.4;12.03
24/03/2016 18:15;1323.1;12.08
24/03/2016 18:20;1323.6;12.11
24/03/2016 18:25;1324.2;12.06
24/03/2016 18:30;1323.9;12.05
24/03/2016 18:35;1324.5;12.03
24/03/2016 18:40;1324.5;12.04
24/03/2016 18:45;1324.5;12.02
24/03/2016 18:50;1324.7;11.99
24/03/2016 18:55;1324.9;11.99
24/03/2016 19:00;1325.3;11.98
24/03/2016 19:05;1325;11.98
24/03/2016 19:10;1324.7;12.03
24/03/2016 19:15;1325.5;12.03
24/03/2016 19:20;1325.5;12.03
24/03/2016 19:25;1325.7;12.02
24/03/2016 19:30;1325.7;12.01
24/03/2016 19:35;1325.8;12.05
24/03/2016 19:40;1325.5;12.03
24/03/2016 19:45;1325.9;11.99
24/03/2016 19:50;1325.6;11.98
24/03/2016 19:55;1326;11.95
24/03/2016 20:00;1326;12
24/03/2016 20:05;1325.7;11.92
24/03/2016 20:10;1326.3;11.94
