Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 12:57:22
FILENAME   : vei_t8320_160519125721_T8320.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8320
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
  Location                =vei_t8320
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:55:11 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16416
Date/time;Druk[cm];Temperatuur[°C]
2016/03/24 02:30:00;1035.7;9.39
2016/03/24 02:35:00;1035.8;9.39
2016/03/24 02:40:00;1035.8;9.39
2016/03/24 02:45:00;1035.8;9.39
2016/03/24 02:50:00;1035.8;9.39
2016/03/24 02:55:00;1035.8;9.39
2016/03/24 03:00:00;1035.8;9.39
2016/03/24 03:05:00;1035.9;9.40
2016/03/24 03:10:00;1035.8;9.40
2016/03/24 03:15:00;1035.6;9.40
2016/03/24 03:20:00;1035.6;9.40
2016/03/24 03:25:00;1035.6;9.41
2016/03/24 03:30:00;1035.5;9.41
2016/03/24 03:35:00;1035.5;9.41
2016/03/24 03:40:00;1035.5;9.41
2016/03/24 03:45:00;1035.6;9.41
2016/03/24 03:50:00;1035.3;9.41
2016/03/24 03:55:00;1035.3;9.41
2016/03/24 04:00:00;1035.3;9.41
2016/03/24 04:05:00;1035.3;9.41
2016/03/24 04:10:00;1035.0;9.41
2016/03/24 04:15:00;1035.2;9.42
2016/03/24 04:20:00;1035.0;9.42
2016/03/24 04:25:00;1035.0;9.42
2016/03/24 04:30:00;1035.0;9.42
2016/03/24 04:35:00;1035.1;9.43
2016/03/24 04:40:00;1035.1;9.43
2016/03/24 04:45:00;1034.9;9.43
2016/03/24 04:50:00;1034.9;9.43
2016/03/24 04:55:00;1034.9;9.43
2016/03/24 05:00:00;1035.1;9.43
2016/03/24 05:05:00;1035.1;9.43
2016/03/24 05:10:00;1034.9;9.43
2016/03/24 05:15:00;1034.9;9.43
2016/03/24 05:20:00;1034.7;9.44
2016/03/24 05:25:00;1034.7;9.44
2016/03/24 05:30:00;1034.7;9.44
2016/03/24 05:35:00;1034.7;9.44
2016/03/24 05:40:00;1034.7;9.45
2016/03/24 05:45:00;1034.5;9.45
2016/03/24 05:50:00;1034.5;9.45
2016/03/24 05:55:00;1034.5;9.45
2016/03/24 06:00:00;1034.7;9.45
2016/03/24 06:05:00;1034.8;9.45
2016/03/24 06:10:00;1034.9;9.45
2016/03/24 06:15:00;1034.8;9.45
2016/03/24 06:20:00;1034.9;9.45
2016/03/24 06:25:00;1035.1;9.46
2016/03/24 06:30:00;1035.1;9.46
2016/03/24 06:35:00;1035.0;9.46
2016/03/24 06:40:00;1035.1;9.46
2016/03/24 06:45:00;1035.3;9.46
2016/03/24 06:50:00;1035.3;9.46
2016/03/24 06:55:00;1035.1;9.47
2016/03/24 07:00:00;1035.1;9.47
2016/03/24 07:05:00;1035.1;9.47
2016/03/24 07:10:00;1035.3;9.47
2016/03/24 07:15:00;1035.2;9.47
2016/03/24 07:20:00;1035.2;9.47
2016/03/24 07:25:00;1035.3;9.47
2016/03/24 07:30:00;1035.3;9.47
2016/03/24 07:35:00;1035.3;9.47
2016/03/24 07:40:00;1035.3;9.48
2016/03/24 07:45:00;1035.1;9.48
2016/03/24 07:50:00;1035.1;9.48
2016/03/24 07:55:00;1035.1;9.48
2016/03/24 08:00:00;1035.1;9.48
2016/03/24 08:05:00;1035.0;9.48
2016/03/24 08:10:00;1035.3;9.49
2016/03/24 08:15:00;1035.1;9.49
2016/03/24 08:20:00;1035.3;9.49
2016/03/24 08:25:00;1035.1;9.49
2016/03/24 08:30:00;1035.3;9.49
2016/03/24 08:35:00;1035.3;9.49
2016/03/24 08:40:00;1035.5;9.49
2016/03/24 08:45:00;1035.3;9.49
2016/03/24 08:50:00;1035.3;9.49
2016/03/24 08:55:00;1035.3;9.49
2016/03/24 09:00:00;1035.1;9.50
2016/03/24 09:05:00;1035.1;9.50
2016/03/24 09:10:00;1035.1;9.50
2016/03/24 09:15:00;1035.3;9.50
2016/03/24 09:20:00;1035.1;9.50
2016/03/24 09:25:00;1035.1;9.50
2016/03/24 09:30:00;1035.3;9.50
2016/03/24 09:35:00;1035.3;9.51
2016/03/24 09:40:00;1035.1;9.51
2016/03/24 09:45:00;1035.1;9.51
2016/03/24 09:50:00;1035.1;9.51
2016/03/24 09:55:00;1035.1;9.51
2016/03/24 10:00:00;1035.1;9.51
2016/03/24 10:05:00;1035.3;9.51
2016/03/24 10:10:00;1035.1;9.51
2016/03/24 10:15:00;1035.3;9.51
2016/03/24 10:20:00;1035.3;9.51
2016/03/24 10:25:00;1035.3;9.52
2016/03/24 10:30:00;1035.4;9.51
2016/03/24 10:35:00;1035.3;9.52
2016/03/24 10:40:00;1035.4;9.52
2016/03/24 10:45:00;1035.3;9.52
2016/03/24 10:50:00;1035.6;9.52
2016/03/24 10:55:00;1035.4;9.52
2016/03/24 11:00:00;1035.2;9.53
2016/03/24 11:05:00;1035.4;9.52
2016/03/24 11:10:00;1035.2;9.53
2016/03/24 11:15:00;1035.3;9.53
2016/03/24 11:20:00;1035.2;9.53
2016/03/24 11:25:00;1035.2;9.53
2016/03/24 11:30:00;1035.3;9.53
2016/03/24 11:35:00;1035.3;9.53
2016/03/24 11:40:00;1035.3;9.53
2016/03/24 11:45:00;1035.1;9.53
2016/03/24 11:50:00;1035.0;9.53
