array_sum: 0.014399 s (10000000.0)
sum: 0.011866 s (10000000.0)
py_sum: 4.600296 s (10000000.0)
         43255 function calls (41217 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
        1    0.000    0.000    0.013    0.013 __init__.py:24(<module>)
       36    0.000    0.000    0.000    0.000 {built-in method getcwd}
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      107    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      257    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      103    0.000    0.000    0.001    0.000 re.py:157(match)
       13    0.000    0.000    0.000    0.000 sre_compile.py:406(_mk_bitmap)
       34    0.000    0.000    0.000    0.000 sre_compile.py:418(_simple)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method is_builtin}
        1    0.000    0.000    0.000    0.000 __init__.py:750(Handler)
        1    0.000    0.000    0.009    0.009 __init__.py:41(<module>)
      163    0.000    0.000    0.000    0.000 {built-in method min}
        4    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       19    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
       75    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
       40    0.000    0.000    0.001    0.000 core.py:105(get_object_signature)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.001    0.001 pickle.py:180(<listcomp>)
       10    0.000    0.000    0.012    0.001 fromnumeric.py:1733(sum)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 datetime.py:978(time)
       40    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.013    0.013 utils.py:4(<module>)
        7    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      348    0.000    0.000    0.000    0.000 {built-in method globals}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
       75    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      117    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
    19/18    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
       12    0.000    0.000    0.000    0.000 posixpath.py:70(join)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.005    0.005 random.py:37(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
        3    0.000    0.000    0.001    0.000 gettext.py:353(find)
        2    0.000    0.000    0.042    0.021 __init__.py:45(<module>)
       18    0.000    0.000    0.000    0.000 core.py:938(__init__)
      112    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
       19    0.000    0.000    0.011    0.001 sre_compile.py:548(_code)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
        1    0.000    0.000    0.003    0.003 __init__.py:88(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.016    0.016 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       10    0.000    0.000    0.012    0.001 _methods.py:31(_sum)
        1    0.000    0.000    0.002    0.002 polynomial.py:55(<module>)
       19    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
        1    0.000    0.000    0.019    0.019 case.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       19    0.000    0.000    0.000    0.000 {built-in method compile}
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6262(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:1223(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:1304(add_argument)
      119    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 gettext.py:111(_expand_lang)
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_bytes_to_codes)
       22    0.000    0.000    0.000    0.000 {built-in method empty}
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:365(<listcomp>)
       21    0.000    0.000    0.000    0.000 sre_parse.py:307(_escape)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.006    0.006 tempfile.py:16(<module>)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
    55/42    0.000    0.000    0.000    0.000 {built-in method issubclass}
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:151(__init__)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.004    0.004 polynomial.py:4(<module>)
       49    0.000    0.000    0.000    0.000 {built-in method repr}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       15    0.000    0.000    0.000    0.000 os.py:704(encode)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.097    0.097 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method dir}
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 case.py:316(TestCase)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
       34    0.000    0.000    0.000    0.000 argparse.py:1275(register)
        1    0.000    0.000    0.000    0.000 argparse.py:1769(_parse_known_args)
      173    0.000    0.000    0.000    0.000 {built-in method ord}
        1    0.000    0.000    0.057    0.057 __init__.py:7(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:32(filterwarnings)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
        9    0.000    0.000    0.000    0.000 {built-in method round}
        1    0.000    0.000    0.000    0.000 pickle.py:974(_Unpickler)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        6    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.003    0.003 hashlib.py:53(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method print}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       19    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
       19    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       38    0.000    0.000    0.000    0.000 sre_compile.py:545(isstring)
       29    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
        6    0.000    0.000    0.000    0.000 core.py:1096(__init__)
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1441(_get_optional_kwargs)
      104    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        2    0.000    0.000    0.000    0.000 utils.py:73(__call__)
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       40    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method calcsize}
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       32    0.000    0.000    0.000    0.000 posixpath.py:38(_get_sep)
        1    0.000    0.000    0.000    0.000 numerictypes.py:379(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 threading.py:742(Thread)
       11    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.002    0.002 argparse.py:1600(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:364(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2322(__import__)
        9    0.000    0.000    0.000    0.000 extras.py:235(getdoc)
       54    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
        8    0.000    0.000    0.000    0.000 core.py:7714(getdoc)
       21    0.000    0.000    0.000    0.000 __init__.py:366(<genexpr>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
        1    0.000    0.000    0.012    0.012 traceback.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.000    0.000 argparse.py:572(_format_args)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
       16    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.010    0.010 string.py:15(<module>)
        1    0.000    0.000    0.009    0.009 string.py:61(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        1    0.000    0.000    0.014    0.014 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
       31    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
       27    0.000    0.000    0.019    0.001 re.py:221(compile)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
       46    0.000    0.000    0.000    0.000 {built-in method sizeof}
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
       59    0.000    0.000    0.000    0.000 _compat_pickle.py:137(<genexpr>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:109(group)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 tarfile.py:718(TarInfo)
       24    0.000    0.000    0.000    0.000 {built-in method _getframe}
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       19    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1530(__init__)
       81    0.000    0.000    0.000    0.000 {built-in method abs}
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        8    0.000    0.000    0.000    0.000 core.py:7709(__init__)
       14    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
